SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Matathwada,1901,15.8,3.3,32.1,48.5,26.5,193.1,184.1,249.8,74,81.6,0,0,908.7,19.1,107.1,700.9,81.6
Matathwada,1902,1.3,0,0.4,7.2,0.8,52.4,120.9,85.2,273.3,61.3,84.4,56.9,744.1,1.3,8.4,531.8,202.7
Matathwada,1903,2.6,0.8,0,1.7,58.3,104.4,264.2,281.9,173.3,139.9,0.3,5.3,1032.6,3.4,60,823.8,145.4
Matathwada,1904,0,0.9,12.1,0.3,7.2,79.2,118.4,57.3,339,76.2,0,0,690.5,0.9,19.5,593.9,76.2
Matathwada,1905,1.3,2,0,6.6,4.8,84.6,94.8,137.6,157.8,15.4,0.9,0,505.9,3.3,11.4,474.8,16.3
Matathwada,1906,19.8,0,0.1,0,0.2,220.6,254.9,156.9,82.1,19.8,3.9,12.4,770.7,19.8,0.3,714.5,36.1
Matathwada,1907,1,6.6,1.1,61.3,0,90.4,198.9,155.2,34.7,5,0,3.7,557.9,7.6,62.4,479.2,8.7
Matathwada,1908,0,0.8,13,2.9,1.6,100.7,124.4,176.8,261.9,0.4,0,0,682.5,0.8,17.5,663.8,0.4
Matathwada,1909,5.5,1.6,8.4,4.2,22.2,217.2,194.3,173.8,223.5,21.4,0.4,20.3,892.7,7.2,34.7,808.8,42
Matathwada,1910,0,0,0.9,0,3.1,202.1,166.7,188.5,467.9,59.7,45.3,0,1134.4,0,4,1025.3,105
Matathwada,1911,6.4,0,0,0,3,85.5,231.9,175,68.6,0.2,41.8,0,612.4,6.4,3,561,42
Matathwada,1912,0,13.7,0,6.5,9.5,62.9,177.3,145.9,34.6,22.8,15.2,0,488.4,13.7,16,420.8,37.9
Matathwada,1913,0,3.4,0,15.1,38.6,173,245.9,80.1,63.7,21,0,15.9,656.5,3.4,53.6,562.6,36.9
Matathwada,1914,0,10.4,5.2,0.9,16.3,297,177.2,151.7,258.3,23.9,20.9,27.3,989.1,10.4,22.3,884.2,72.1
Matathwada,1915,28,2.6,55.9,18.9,11.5,207.8,146.8,96.1,299.1,99.7,10.1,25.1,1001.6,30.6,86.3,749.8,134.9
Matathwada,1916,0,5,3,1.7,43.6,149.8,374.7,139.7,305.1,115,40.3,0,1177.9,5,48.3,969.3,155.3
Matathwada,1917,1.7,63.5,10.8,7,17.1,176.8,144.6,259.3,348.7,101.2,37.5,0,1168.3,65.2,35,929.4,138.8
Matathwada,1918,0.7,0,0.2,0.6,121.4,93.5,65.9,78.6,89.9,4.7,9.8,20.7,486.1,0.7,122.2,327.9,35.3
Matathwada,1919,11.9,0.9,0.3,5.1,11.2,149.7,119.9,85.3,228,28,21.4,1.1,662.8,12.8,16.6,583,50.4
Matathwada,1920,27,0,0.3,3.1,2.1,60.4,50.5,86.1,127.7,3.8,0,0,361.2,27,5.6,324.8,3.8
