SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Madhya Maharashtra,1901,18.8,0.6,7.7,36.6,30.4,107.7,215.9,194.1,83.7,68.7,4.4,0.5,769,19.4,74.7,601.4,73.5
Madhya Maharashtra,1902,7.8,0,0.1,5,9.8,102.6,210.9,114.5,169.5,60.4,40.5,62.9,784,7.8,14.9,597.5,163.8
Madhya Maharashtra,1903,7.6,0,0,3.2,77.2,86.3,281.8,155.5,142.3,74.2,7.6,2.2,837.9,7.6,80.4,665.9,84.1
Madhya Maharashtra,1904,0.4,4.7,1.7,3,18.7,114.6,126.5,59.5,183,91.1,0,0.4,603.5,5.1,23.4,483.6,91.4
Madhya Maharashtra,1905,0,1.2,0,2.3,23.6,65,252.8,79,52.6,52.9,8.3,0,537.8,1.2,25.9,449.5,61.2
Madhya Maharashtra,1906,10.5,0.8,0,0.1,9.3,184.8,199.3,205,88.8,19.1,15.5,11.1,744.3,11.3,9.4,677.8,45.8
Madhya Maharashtra,1907,0.5,3.7,1.5,54.5,0.6,118,262.3,267.8,94.1,7.6,3.6,0.9,815.1,4.2,56.6,742.3,12.1
Madhya Maharashtra,1908,0.3,0,4.7,6.3,5.8,85.1,263,169.9,166.6,16.3,4,0,722,0.3,16.8,684.6,20.3
Madhya Maharashtra,1909,1.2,0.1,0.7,1.4,38.5,179.6,247,101.6,146.2,31.1,3.1,4.7,755.2,1.3,40.6,674.4,38.9
Madhya Maharashtra,1910,0,0,1,0,13.1,204.6,172,228.6,195.7,70,30.2,0,915.2,0,14,800.9,100.3
Madhya Maharashtra,1911,2,0.1,2.2,0.2,12,136.9,137.7,153.2,29.9,23.6,42.9,3.8,544.3,2.1,14.3,457.6,70.3
Madhya Maharashtra,1912,0,0.4,0,9,20.9,88.3,307.6,150,34.7,86,67.7,0.3,764.9,0.5,29.9,580.5,153.9
Madhya Maharashtra,1913,0,0.2,0,8.4,34,259.9,210.8,86.6,82.8,43.7,0.6,5.5,732.5,0.2,42.4,640.1,49.8
Madhya Maharashtra,1914,0,0.4,0.3,3.7,15.2,188.3,348.8,204.3,211.6,22.1,36.6,7.6,1039,0.4,19.2,953,66.3
Madhya Maharashtra,1915,8.6,6.6,13.9,21.9,12.1,195.2,225.4,80,228.5,76.8,20.9,18,908.1,15.3,48,729.1,115.7
