SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Vidarbha,1901,36.8,39.9,30.9,26.1,7.3,129.7,295.3,368.8,123.4,35.2,0,0,1093.3,76.6,64.3,917.2,35.2
Vidarbha,1902,1.6,0.1,0,6.5,4.1,38,270.7,204.7,150.9,29.6,16.1,26.7,748.9,1.7,10.6,664.3,72.4
Vidarbha,1903,5.2,4,0.1,2.5,37.8,121.2,475.5,325.5,154.8,100.8,2,0,1229.4,9.3,40.3,1077,102.8
Vidarbha,1904,4.3,2.4,12.9,0.2,14.8,148.9,158.3,151.8,196.9,61.7,0,0.9,753.2,6.7,27.9,655.9,62.7
Vidarbha,1905,7.3,12.7,12.4,16.2,14,81,254.5,216.3,321.3,6,0.2,0,941.8,20,42.6,873.1,6.2
Vidarbha,1906,12.9,3.3,11.9,0.2,6.1,328.1,350.4,325.8,113.3,6.9,14.3,18.1,1191.2,16.2,18.2,1117.5,39.2
Vidarbha,1907,3.6,52.9,3.7,45.3,1.6,181.4,309.7,332.6,59.7,0.2,15.7,4.3,1010.8,56.5,50.5,883.5,20.2
Vidarbha,1908,4.1,15.5,13.5,5.7,1.5,232,355.2,398.4,205.9,7.8,0,3.9,1243.4,19.6,20.7,1191.4,11.8
Vidarbha,1909,1.3,10,4.8,31.5,17.9,157.1,405,176,160.3,7.3,0,90.6,1061.6,11.3,54.1,898.3,97.9
Vidarbha,1910,0,0,0,0.1,10,289.1,297.4,278.7,300.3,57.7,60.8,0,1294,0,10,1165.5,118.5
Vidarbha,1911,18.2,0,2.2,0,2.6,218,205.9,292.3,176.1,27.5,39.9,0,982.8,18.2,4.9,892.3,67.4
Vidarbha,1912,0.6,49.3,0.2,6.1,7.2,54.2,364.5,391.9,117,6.9,15.6,0.5,1014,49.9,13.5,927.5,23.1
Vidarbha,1913,0,24.9,4,1.8,17.2,199.8,378.3,244.3,137.2,17.4,0.3,27.4,1052.6,24.9,23,959.6,45.1
Vidarbha,1914,0,13.4,12.8,39.1,15.9,239.5,341.2,245.6,266.6,6.1,5.7,13.1,1199,13.4,67.8,1092.9,24.9
Vidarbha,1915,33.3,9.1,65.9,18.9,13.1,190.2,311,229.6,195.2,111,7.4,15,1199.6,42.3,97.9,925.9,133.4
Vidarbha,1916,0,14.4,0.8,2.2,21.7,257,345.3,306.2,253.1,124.1,37.4,0,1362.3,14.4,24.7,1161.6,161.5
Vidarbha,1917,0.9,78.5,20.6,11.5,48.9,234.9,350.1,200.3,328.5,120.9,1.7,0,1396.9,79.4,81,1113.8,122.7
Vidarbha,1918,2.5,2.9,3.1,0.2,83.1,278.3,168,174.5,55.5,3.4,16.8,13.2,801.4,5.4,86.4,676.2,33.4
Vidarbha,1919,55.8,37,15.9,6.3,19.9,325.6,280.3,249.8,103.6,98,19.3,1.1,1212.6,92.8,42.2,959.3,118.4
Vidarbha,1920,26.7,0.3,5.2,6.2,4.8,101.8,237.8,111.7,83.3,0.5,0,0,578.5,27,16.3,534.6,0.5
Vidarbha,1921,20.3,0.1,0,2.6,0,283.9,293,292,182.3,11.3,0.2,0,1085.6,20.3,2.6,1051.2,11.4
Vidarbha,1922,33.8,2.3,0,3.8,5.1,206.1,361.7,116.5,295.3,4.7,80.3,0.3,1109.8,36.1,8.8,979.6,85.3
Vidarbha,1923,1,6.7,30.6,3.4,2.3,21.4,402.9,201.1,260.1,11,0.1,0.7,941.3,7.7,36.3,885.5,11.8
Vidarbha,1924,21.3,0.5,4.4,6.2,3.2,43.8,308.3,220.6,217.3,126.9,33.6,8.1,994.2,21.8,13.8,790,168.6
Vidarbha,1925,0,0,7.3,5.4,28,130.3,293.9,307.2,77.4,21.8,61.5,8.4,941.1,0,40.7,808.7,91.7
Vidarbha,1926,59.5,5.7,23.7,15.1,34.4,31.8,330.6,420,109.9,38.7,1.3,0.6,1071.1,65.1,73.2,892.2,40.5
Vidarbha,1927,0.7,10,12.2,2,2.2,280.2,414.7,220.1,97.7,51.5,70.4,5.7,1167.4,10.7,16.4,1012.7,127.7
Vidarbha,1928,0.2,43.1,5.9,0.2,2.2,177.8,296.2,185.2,180.1,108.5,0.1,17.8,1017.5,43.3,8.3,839.5,126.4
Vidarbha,1929,3.8,52.6,0.7,11.8,0.7,170.9,263.5,157.4,193.1,28.2,0,29.8,912.5,56.4,13.2,784.9,58
Vidarbha,1930,0,5.3,1.2,27.4,4.4,181.3,252.9,194.4,233.2,44.8,36.3,1.9,983.1,5.3,33,861.8,83
Vidarbha,1931,4,4.6,11.6,5.6,3.1,103.3,380.6,390.7,232.9,225.1,40.2,2.4,1404.2,8.6,20.3,1107.6,267.7
Vidarbha,1932,0,27.4,12.9,3.4,10.3,154.2,526.6,176.7,183.8,25.6,9.7,0,1130.5,27.4,26.5,1041.3,35.3
Vidarbha,1933,4.8,38.3,9.1,20.5,64.6,244.6,353.7,365.4,301.7,75.1,8.4,16,1502.3,43.1,94.3,1265.5,99.5
Vidarbha,1934,2.2,0,0.3,8.5,0.3,169.1,335.1,390.9,254.4,10.8,46.6,0.1,1218.3,2.2,9.1,1149.6,57.5
Vidarbha,1935,14.5,4.6,0.7,26,1,151.8,528.1,164.8,250.4,13.4,0.4,2.3,1158,19,27.7,1095.1,16.2
Vidarbha,1936,17.6,60.3,21.6,4.8,30.5,377.5,285.3,308.3,188.8,61.9,90.9,3.5,1451.2,78,57,1160,156.3
Vidarbha,1937,0,33.1,42.4,112.7,1.5,135.6,476.2,177.2,226,105.7,0.4,8.4,1319.1,33.1,156.6,1015,114.4
Vidarbha,1938,4,12.4,9.7,6.5,26.2,354,425.6,314.1,181.6,126.8,0,0,1460.9,16.4,42.4,1275.3,126.8
Vidarbha,1939,1.3,1.9,34.2,12.2,0.1,116.1,224.2,385.4,66.5,33.5,6,0.4,881.9,3.3,46.5,792.3,39.9
Vidarbha,1940,0,9.3,1.3,12.8,11.5,262.7,591,298.6,53.6,79,24.3,13.4,1357.5,9.3,25.5,1205.9,116.7
Vidarbha,1941,9.6,15.2,13.5,3.1,4.8,142.3,338.8,182.4,112.8,6.5,0,0,828.9,24.7,21.4,776.3,6.5
Vidarbha,1942,2.4,84.9,0,12.9,1.9,179.4,508.3,366.5,159.2,4.9,0,21.2,1341.7,87.3,14.9,1213.4,26.1
Vidarbha,1943,55,0.1,0.4,7.2,28.3,141.9,275.1,149.2,277.5,83.4,0.1,0,1018.2,55,35.9,843.7,83.5
Vidarbha,1944,4.5,59.4,64.8,1.6,2.7,96.6,470.4,370.6,213.2,67.4,16.5,0,1367.8,63.8,69.2,1150.8,83.9
